Time: 6.853917452 seconds | CompleteTranslationUnit;
Time: 0.104118000 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct20>;
Time: 0.047935999 seconds | std::__1::operator<<bool, long long, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, long long> > >;
Time: 0.041447000 seconds | std::__1::pair<const signed char, cpp2::Struct0>;
Time: 0.037903000 seconds | std::__1::pair<const signed char, cpp2::Struct2>;
Time: 0.036507000 seconds | std::__1::operator==<std::__1::vector<short, std::__1::allocator<short> >, std::__1::allocator<std::__1::vector<short, std::__1::allocator<short> > > >;
Time: 0.033104999 seconds | std::__1::pair<const signed char, cpp2::Struct3>;
Time: 0.032116000 seconds | std::__1::pair<const std::__1::vector<short, std::__1::allocator<short> >, cpp2::Struct6>;
Time: 0.030181000 seconds | std::__1::map<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::vector<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >, std::__1::allocator<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > > > >, std::__1::less<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::vector<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > >, std::__1::allocator<std::__1::map<double, signed char, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, signed char> > > > > > > >;
Time: 0.023285999 seconds | std::__1::map<int, std::__1::basic_string<char>, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, std::__1::basic_string<char> > > >::map;
Time: 0.023169999 seconds | std::__1::map<cpp2::Struct1, short, std::__1::less<cpp2::Struct1>, std::__1::allocator<std::__1::pair<const cpp2::Struct1, short> > >::map;
Time: 0.022727999 seconds | std::__1::pair<const short, cpp2::Struct5>;
Time: 0.022645000 seconds | std::__1::map<float, std::__1::map<short, long long, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, long long> > >, std::__1::less<float>, std::__1::allocator<std::__1::pair<const float, std::__1::map<short, long long, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, long long> > > > > >::map;
Time: 0.021131999 seconds | std::__1::pair<const std::__1::basic_string<char>, cpp2::Struct15>;
Time: 0.019538000 seconds | std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, std::__1::map<std::__1::basic_string<char>, long long, std::__1::less<std::__1::basic_string<char> >, std::__1::allocator<std::__1::pair<const std::__1::basic_string<char>, long long> > > >;
Time: 0.017573000 seconds | std::__1::pair<const cpp2::Struct8, cpp2::Struct7>;
Time: 0.016749000 seconds | std::__1::map<short, std::__1::vector<float, std::__1::allocator<float> >, std::__1::less<short>, std::__1::allocator<std::__1::pair<const short, std::__1::vector<float, std::__1::allocator<float> > > > >;
Time: 0.015184000 seconds | std::__1::map<cpp2::Struct8, cpp2::Struct7, std::__1::less<cpp2::Struct8>, std::__1::allocator<std::__1::pair<const cpp2::Struct8, cpp2::Struct7> > >;
