Time: 4.281631941 seconds | CompleteTranslationUnit;
Time: 0.026544999 seconds | std::__1::map<std::__1::set<example::thrift32::Struct0, std::__1::less<example::thrift32::Struct0>, std::__1::allocator<example::thrift32::Struct0> >, short, std::__1::less<std::__1::set<example::thrift32::Struct0, std::__1::less<example::thrift32::Struct0>, std::__1::allocator<example::thrift32::Struct0> > >, std::__1::allocator<std::__1::pair<const std::__1::set<example::thrift32::Struct0, std::__1::less<example::thrift32::Struct0>, std::__1::allocator<example::thrift32::Struct0> >, short> > >;
Time: 0.024753999 seconds | std::__1::map<int, example::thrift32::Struct0, std::__1::less<int>, std::__1::allocator<std::__1::pair<const int, example::thrift32::Struct0> > >::map;
Time: 0.023935999 seconds | std::__1::map<std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, float, std::__1::less<std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> > >, std::__1::allocator<std::__1::pair<const std::__1::set<int, std::__1::less<int>, std::__1::allocator<int> >, float> > >;
Time: 0.020170000 seconds | std::__1::pair<const short, example::thrift29::Struct7>;
Time: 0.019915999 seconds | std::__1::pair<const std::__1::map<double, std::__1::basic_string<char>, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, std::__1::basic_string<char> > > >, example::thrift32::Struct13>;
Time: 0.018429999 seconds | std::__1::pair<const long long, example::thrift12::Struct1>;
Time: 0.018154000 seconds | std::__1::map<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, short, std::__1::less<std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > > >, std::__1::allocator<std::__1::pair<const std::__1::vector<std::__1::basic_string<char>, std::__1::allocator<std::__1::basic_string<char> > >, short> > >;
Time: 0.016512000 seconds | std::__1::map<double, example::thrift32::Struct9, std::__1::less<double>, std::__1::allocator<std::__1::pair<const double, example::thrift32::Struct9> > >;
Time: 0.016042000 seconds | std::__1::pair<const std::__1::map<bool, std::__1::basic_string<char>, std::__1::less<bool>, std::__1::allocator<std::__1::pair<const bool, std::__1::basic_string<char> > > >, example::thrift32::Struct7>;
Time: 0.014831000 seconds | std::__1::operator==<std::__1::map<long long, std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> >, std::__1::less<long long>, std::__1::allocator<std::__1::pair<const long long, std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> > > > >, std::__1::less<std::__1::map<long long, std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> >, std::__1::less<long long>, std::__1::allocator<std::__1::pair<const long long, std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> > > > > >, std::__1::allocator<std::__1::map<long long, std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> >, std::__1::less<long long>, std::__1::allocator<std::__1::pair<const long long, std::__1::set<float, std::__1::less<float>, std::__1::allocator<float> > > > > > >;
